Charge,Address,City,District
Larceny,600 block W Onondaga St,Syracuse,Syracuse
Larceny,1100 block Lemoyne Av,Syracuse,Syracuse
Larceny,900 block Ackerman Av,Syracuse,Syracuse
Larceny,900 block Ackerman Av,Syracuse,Syracuse
Larceny,1500 block W Genesee St,Syracuse,Onondaga County
Larceny,700 block First North St,Syracuse,Syracuse
Larceny,1400 block E Genesee St,Syracuse,Syracuse
Larceny,700 block Ash St,Syracuse,Syracuse
Larceny,700 block Marcellus St,Syracuse,Syracuse
Larceny,800 block E Brighton Av,Syracuse,Syracuse
Larceny,100 block White St,Syracuse,Syracuse
Larceny,700 block S Salina St,Syracuse,Syracuse
Larceny,400 block South Av,Syracuse,Syracuse
Larceny,0 block State St,Tully,Onondaga County
Murder,300 block W Ostrander Av,Syracuse,Syracuse
Robbery,1800 block Cotswold Ct,Liverpool,Onondaga County
Robbery,2400 block Brewerton Rd,Mattydale,Onondaga County
Robbery,1000 block S Townsend St,Syracuse,Syracuse
Robbery,1600 block Valley Dr,Syracuse,Syracuse
Vehicle theft,300 block Marcellus St,Syracuse,Syracuse
Vehicle theft,100 block Radisson Ct,Syracuse,Syracuse
Vehicle theft,0 block Corcoran Ct,Syracuse,Syracuse
Aggravated assault,4600 block Candlelight Ln,Liverpool,Onondaga County
Aggravated assault,600 block Ash St,Syracuse,Syracuse
Aggravated assault,400 block Pearl St,Syracuse,Syracuse
Burglary,5400 block Topsfield Ln,Clay,Onondaga County
Burglary,5400 block Topsfield Ln,Clay,Onondaga County
Burglary,100 block Luddington St,Syracuse,Syracuse
Burglary,300 block Comstock Av,Syracuse,Syracuse
Burglary,200 block Melrose Av,Syracuse,Syracuse
Larceny,7900 block Route 31,Bridgeport,Cicero
Larceny,5300 block W Genesee St,Camillus,Camillus
Larceny,8000 block Brewerton Rd,Cicero,Cicero
Larceny,5900 block Lakeshore Rd,Cicero,Cicero
Larceny,6000 block Jerusalem Dr,Cicero,Cicero
Larceny,7900 block Brewerton Rd,Cicero,Cicero
Larceny,6000 block Jerusalem Dr,Cicero,Cicero
Larceny,5100 block Rte 31,Clay,Onondaga County
Larceny,3600 block Erie Blvd E,DeWitt,DeWitt
Larceny,0 block Chevy Dr,East Syracuse,East Syracuse
Larceny,200 block Watertree Dr,East Syracuse,DeWitt
Larceny,6700 block E Genesee St,Fayetteville,DeWitt
Larceny,7300 block Cedar Post Rd,Liverpool,Onondaga County
Larceny,400 block Sandra Ln,North Syracuse,North Syracuse
Larceny,100 block Ballantyne Rd,Syracuse,Syracuse
Larceny,2500 block Erie Blvd E,Syracuse,Syracuse
Larceny,800 block Erie Blvd W,Syracuse,Syracuse
Larceny,800 block Willis Av,Syracuse,Syracuse
Larceny,4100 block S Salina St,Syracuse,Syracuse
Larceny,100 block Shop City Plz,Syracuse,Onondaga County
Larceny,4200 block W Genesee St,Syracuse,Camillus
Larceny,300 block N Salina St,Syracuse,Syracuse
Larceny,200 block Van Buren St,Syracuse,Syracuse
Larceny,100 block Columbia Av,Syracuse,Syracuse
Robbery,400 block E Division St,Syracuse,Syracuse
Robbery,1000 block James St,Syracuse,Syracuse
Robbery,100 block Catherine St,Syracuse,Syracuse
Vehicle theft,1100 block N Townsend St,Syracuse,Syracuse
Aggravated assault,500 block Plymouth Dr,Syracuse,Syracuse
Burglary,1300 block N State St,Syracuse,Syracuse
Larceny,100 block Fairway Cir,Baldwinsville,Onondaga County
