House Price,Square Feet,Lot Size,Bedrooms,Bathrooms,Garage,Year Built,Elementary School Score,Middle School Score,High School Score,Walk Score,Property Taxes,Highway,Restaurant,Park,Shopping Mall,Street Address of House,Zip Code
49000,816,1740,2,2,No,1890,2,1,1,71,1166,Yes,8,12,1.1,2317 Lodi St.,13208
39900,1376,3484,4,2,Yes,1915,1,1,1,72,821,No,14,19,1.2,230 Lilac St.,13208
80000,2421,3920,1,1,Yes,1940,2,1,2,50,79,No,36,14,1.4,1006 Wolf Street,13208
34900,1080,2613,3,1.5,No,1880,2,1,1,64,1087,No,30,8,1.2,619 2nd N Street,13208
45000,2238,4356,6,2,No,1880,2,1,1,64,1723,No,29,7,1.2,609 2nd N St,13208
80000,2244,4356,4,2,Yes,1915,2,1,1,62,1987,No,22,7,1.2,1300 Spring Street,13208
99000,2144,7840,3,2,Yes,1868,2,1,1,66,1828,No,18,8,1.1,409 Court Street,13208
125000,2794,8276,6,2,Yes,1909,2,1,1,59,1500,No,25,10,1.2,805 Turtle Street,13208
82900,1480,,2,2,Yes,1986,2,1,2,61,1799,No,27,10,1.2,103 Arnts Place,13208
47900,1312,4791,5,2,No,1900,2,1,2,60,1531,No,30,11,1.3,115 Murray Ave,13208
76000,1056,6098,3,1,Yes,1926,2,1,2,39,51,No,31,13,1.4,339 Willumae Dr,13208
104900,1492,6098,3,1,Yes,1930,2,1,2,57,2067,No,29,17,1.6,128 Willumae Dr,13208
109900,1152,4791,4,1,Yes,1952,3,3,9,62,1811,No,16,1,0.5,611 Broad Street,13210
148500,1693,5227,3,1,Yes,1924,3,3,9,66,1959,No,12,7,0.7,140 Miles Ave,13210
133000,2232,13068,5,2,No,1930,2,1,1,52,1451,Yes,2,8,1.3,106 Giminski Drive,13204
149500,1560,10750,3,2,No,1920,3,3,9,58,1842,No,10,11,0.7,883 Westmoreland Ave,13210
219461,3288,0.25,5,4,Yes,1903,1,3,8,45,4573,No,19,10,1.1,109 Dorset Rd,13210
164900,1672,7405,3,3,Yes,1930,3,3,9,61,3511,No,2,3,0.9,801 Westmoreland,13210
89900,1800,5227,4,2,No,1920,3,3,9,43,1103,No,9,17,1.3,539 Westmoreland,13210
138961,1566,6500,3,1.5,Yes,1925,1,3,3,42,2411,No,20,5,3.7,326 Buckingham Avenue,13210
180189,2605,5000,5,1,Yes,1916,1,3,3,45,2372,No,18,11,6,226 Stratford St,13210
109900,1144,4300,3,1.5,No,1920,3,3,9,65,1924,No,11,7,0.7,1026 Westcott Ave,13210
46500,720,6120,2,1,No,1964,2,1,2,48,650,Yes,4,7,1.3,103 Pulaski St,13204
141000,2538,5280,4,2,No,1920,9,3,3,72,3185,No,9,6,1,717 Ackerman Ave ,13210
88620,1324,7458,3,1,Yes,1957,2,4,2,52,1670,No,14,33,1.4,149 Sunhill Terrace,13207
243940,3720,8741,10,4,No,1890,9,3,3,72,3365,No,8,6,5,415 Clarendon St,13210
